bus,E,Ps,Emax,Emin,Psmax,Psmin,status
101.0,648.0,0.0,1296.0,0.0,54.0,-54.0,1
102.0,582.0,0.0,1164.0,0.0,48.5,-48.5,1
107.0,750.0,0.0,1500.0,0.0,62.5,-62.5,1
114.0,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
115.0,1902.0,0.0,3804.0,0.0,158.5,-158.5,1
116.0,600.0,0.0,1200.0,0.0,50.0,-50.0,1
118.0,1998.0,0.0,3996.0,0.0,166.5,-166.5,1
121.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
122.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
123.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
201.0,648.0,0.0,1296.0,0.0,54.0,-54.0,1
202.0,582.0,0.0,1164.0,0.0,48.5,-48.5,1
207.0,750.0,0.0,1500.0,0.0,62.5,-62.5,1
213.0,1590.0,0.0,3180.0,0.0,132.5,-132.5,1
214.0,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
215.0,1902.0,0.0,3804.0,0.0,158.5,-158.5,1
216.0,600.0,0.0,1200.0,0.0,50.0,-50.0,1
218.0,1998.0,0.0,3996.0,0.0,166.5,-166.5,1
221.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
222.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
223.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
301.0,648.0,0.0,1296.0,0.0,54.0,-54.0,1
302.0,582.0,0.0,1164.0,0.0,48.5,-48.5,1
307.0,750.0,0.0,1500.0,0.0,62.5,-62.5,1
313.0,1590.0,0.0,3180.0,0.0,132.5,-132.5,1
314.0,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
315.0,1902.0,0.0,3804.0,0.0,158.5,-158.5,1
316.0,600.0,0.0,1200.0,0.0,50.0,-50.0,1
318.0,1998.0,0.0,3996.0,0.0,166.5,-166.5,1
321.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
322.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
323.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
