time,load_shed,perc_load_served,lines_out,gens_off
0,4446.349955066242,0.7539988660790118,-2748,284
0,2752.2142416657543,0.8477295239723923,-2748,235
60,831.2340000000513,0.9540107034713499,-2907,270
120,423.4657936011181,0.9765711051861922,-2936,248
180,195.60769118129235,0.9891777043371415,-2957,214
240,80.11399999999996,0.9955675700198787,-2970,248
300,45.361502632636856,0.997490305262348,-2982,222
360,47.533166662077605,0.9973701546176313,-2988,207
420,46.730029684812365,0.997414589403264,-2991,207
480,38.49195203845916,0.9978703736898838,-2997,209
540,31.36899999999983,0.9982644619411537,-2999,255
600,31.36899999999983,0.9982644619411537,-3003,233
660,24.891999999999825,0.9986228119047211,-3005,256
720,24.891999999999825,0.9986228119047211,-3006,262
780,24.891999999999825,0.9986228119047211,-3008,274
840,24.891999999999825,0.9986228119047211,-3009,259
900,24.891999999999825,0.9986228119047211,-3010,258
960,24.891999999999825,0.9986228119047211,-3012,274
1020,24.891999999999825,0.9986228119047211,-3013,257
1080,24.891999999999825,0.9986228119047211,-3013,257
1140,24.891999999999825,0.9986228119047211,-3014,251
1200,24.891999999999825,0.9986228119047211,-3014,251
1260,24.891999999999825,0.9986228119047211,-3014,251
1320,24.891999999999825,0.9986228119047211,-3014,251
1380,24.891999999999825,0.9986228119047211,-3016,269
1440,24.891999999999825,0.9986228119047211,-3016,269
1500,24.891999999999825,0.9986228119047211,-3016,269
1560,24.891999999999825,0.9986228119047211,-3017,259
1620,24.891999999999825,0.9986228119047211,-3017,259
1680,24.891999999999825,0.9986228119047211,-3017,259
1740,24.891999999999825,0.9986228119047211,-3017,259
1800,24.891999999999825,0.9986228119047211,-3017,259
1860,24.891999999999825,0.9986228119047211,-3017,259
1920,24.891999999999825,0.9986228119047211,-3018,241
1980,19.403999999999826,0.9989264439257275,-3019,270
2040,19.403999999999826,0.9989264439257275,-3019,270
2100,19.403999999999826,0.9989264439257275,-3020,263
2160,19.403999999999826,0.9989264439257275,-3021,269
2220,9.376999999999834,0.9994812030865566,-3022,259
2280,9.376999999999834,0.9994812030865566,-3023,273
2340,9.376999999999834,0.9994812030865566,-3023,273
2400,9.376999999999834,0.9994812030865566,-3023,273
2460,9.376999999999834,0.9994812030865566,-3024,256
2520,9.376999999999834,0.9994812030865566,-3025,241
2580,9.376999999999834,0.9994812030865566,-3025,241
2640,9.376999999999834,0.9994812030865566,-3025,241
2700,9.376999999999834,0.9994812030865566,-3025,241
2760,9.376999999999834,0.9994812030865566,-3026,262
2820,9.376999999999834,0.9994812030865566,-3026,262
2880,9.376999999999834,0.9994812030865566,-3026,262
2940,9.376999999999834,0.9994812030865566,-3026,262
3000,9.376999999999834,0.9994812030865566,-3026,262
3060,9.376999999999834,0.9994812030865566,-3026,262
3120,9.376999999999834,0.9994812030865566,-3026,262
