Resilience,Size,Restoration_time
370.39665366165167,123.46555122055108,130
63.998980155712275,25.767469998257155,310
-5892175636290631e-27,-27533531010703882e-30,0
1225.189567368626,857.1421822173895,130
552.7883210801281,552.7883210801295,10
1159.0133948432576,24.659859464750166,2770
15.292604062980928,7.646302031491559,70
15.292604062981235,7.646302031491559,70
34481.73654348928,281.1429576047402,10630
3252.031709031769,906.129999999987,310
4768,680,550
33542.02545007761,307.55032707116936,10330
28.93113912860773,14.465569564306321,70
42291.40049569503,289.73155299649693,13390
154.29916397475665,154.2991639747598,10
-47908343958624755e-28,-27533531010703882e-30,0
32747.41382575532,186.60467299606972,10390
990.633519608967,134.7327512127675,430
7.646302031489608,-27533531010703882e-30,70
833.262363576877,221.90467186530566,310
39894.86098385726,179.99386042685373,12670
32844.344852560505,382.7644998565441,10090
1451.8467912253454,241.9744652042245,310
29125.57673389845,150.13183883452777,11590
33721.48110559677,161.2126297767574,10570
-19824142327706795e-28,-27533531010703882e-30,0
-19824142327706795e-28,-27533531010703882e-30,0
3.729999999998265,3.730000000000275,10
-468070027181966e-26,-27533531010703882e-30,0
-20374812947920873e-28,-27533531010703882e-30,0
34569.73345693675,351.37179210852355,10510
36505.831808166855,187.06470768077574,11590
33280.53596665121,239.28453622039055,10270
28074.65386205675,150.13183883452731,11170
868.526309274923,501.7116942479808,190
33797.3800023497,189.03214297972042,10450
116599.71887583242,167.59875521204643,37390
273.96546881677887,273.96546881678034,10
384.9328676701033,384.9328676701082,10
-19824142327706795e-28,-27533531010703882e-30,0
552.7883210801282,552.7883210801295,10
1665.5401894058336,333.10803788116687,250
330.6299999999994,330.6300000000008,10
29243.46131944767,162.90266628053652,11590
75.26180666430032,75.26180666430233,10
152.1327606891975,152.13276068920396,10
-2092548356813495e-27,-27533531010703882e-30,0
-20099477637813834e-28,-27533531010703882e-30,0
-4983569112937403e-27,-27533531010703882e-30,0
32777.777903577975,122.97385829838841,10150
-6470379787515412e-27,-27533531010703882e-30,0
-28497204596078518e-27,-27533531010703882e-30,0
-6305178601451189e-27,-27533531010703882e-30,0
33505.65425392819,378.56129789144563,10570
1974.0254785080008,213.05231946557348,1030
328.3406766750378,328.3406766750395,10
24.65985946474477,24.659859464749626,10
29374.882608507294,99.1740357743144,11710
152.13276068919762,152.13276068920396,10
-19824142327706795e-28,-27533531010703882e-30,0
-5864642105279927e-27,-27533531010703882e-30,0
31981.21375572277,201.76832924274473,10150
36129.14762634603,382.7644998565441,11110
-22302160118670145e-28,-27533531010703882e-30,0
29621.44691277002,99.1740357743144,11890
15.500424541406206,15.50042454141223,10
241.97446520422253,241.9744652042245,10
3655.543953520738,476.48395662056,1570
35168.55997680657,159.24583008592109,11170
384.93286767010414,384.9328676701082,10
221.3895064414437,221.38950644144884,10
483.9489304084475,241.9744652042245,70
424.9647281402455,362.37987466334425,70
21520.68403228356,415.2206280339203,6370
-20099477637813834e-28,-27533531010703882e-30,0
563.6609847523478,321.6865195481246,70
8959.835137210335,161.34263248323717,4270
-5231370892033738e-27,-27533531010703882e-30,0
241.97446520422253,241.9744652042245,10
-234035013590983e-26,-27533531010703882e-30,0
-22302160118670145e-28,-27533531010703882e-30,0
304.1194530475894,101.37315101586375,130
28720.61993909329,202.7169827305,11530
335.65246671760525,335.65246671760866,10
27400.48073165624,296.4955858079883,8650
725.9233956126719,241.9744652042245,130
-20099477637813834e-28,-27533531010703882e-30,0
442.3532549433398,75.5386399163977,190
179.88312826100653,89.94156413050572,70
1583.399999999997,263.89999999999947,310
171.999999999998,171.99999999999997,10
33.41377202974688,25.767469998257155,70
273.96546881677943,273.9654688167808,10
-4653166740808956e-27,-27533531010703882e-30,0
1151.8999999999987,635.9000000000002,190
-20099477637813834e-28,-27533531010703882e-30,0
39280.72045748886,490.3802592958937,11470
26273.07179604242,150.13183883452808,10450
489.0861533692558,122.27153834231433,190
