bus,E,Ps,Emax,Emin,Psmax,Psmin,status
1,253.76000000000002,19.52,468.48,0.0,19.52,-19.52,1
3,837.2,64.4,1545.6000000000001,0.0,64.4,-64.4,1
4,1100.0000000000002,-100.0,2400.0000000000005,0.0,100.0,-100.0,1
7,514.3600000000001,-46.760000000000005,1122.2400000000002,0.0,46.760000000000005,-46.760000000000005,1
8,1148.4,-104.4,2505.6000000000004,0.0,104.4,-104.4,1
9,16.900000000000002,1.3,31.200000000000003,0.0,1.3,-1.3,1
12,18.766000000000002,-1.706,40.944,0.0,1.706,-1.706,1
15,704.0000000000001,-64.0,1536.0000000000002,0.0,64.0,-64.0,1
16,723.8000000000002,-65.8,1579.2000000000003,0.0,65.8,-65.8,1
18,410.80000000000007,31.6,758.4000000000001,0.0,31.6,-31.6,1
20,1618.205999999998,-13.794000000002171,3264.0000000000005,0.0,136.0,-136.0,1
21,602.8000000000002,-54.800000000000004,1315.2000000000003,0.0,54.800000000000004,-54.800000000000004,1
23,544.5000000000001,-49.5,1188.0000000000002,0.0,49.5,-49.5,1
24,678.9200000000002,-61.720000000000006,1481.2800000000004,0.0,61.720000000000006,-61.720000000000006,1
25,582.4000000000001,44.800000000000004,1075.2000000000003,0.0,44.800000000000004,-44.800000000000004,1
26,361.40000000000003,27.800000000000004,667.2,0.0,27.8,-27.8,1
27,730.6000000000001,56.2,1348.8000000000002,0.0,56.2,-56.2,1
28,535.6000000000001,41.2,988.8000000000002,0.0,41.2,-41.2,1
29,737.1000000000001,56.7,1360.8000000000002,0.0,56.7,-56.7,1
31,20.240000000000002,-1.8399999999999999,44.160000000000004,0.0,1.8399999999999999,-1.8399999999999999,1
39,2870.4000000000005,220.8,5299.200000000001,0.0,220.8,-220.8,1
