f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.0035,0.0411,0.6987,600,600,600,0.0,0,1,-360,360,-158.05842733765064,0.0,158.05842733765064,0.0,0,0,0,0,0,0,0,0,0,0
1,39,0.001,0.025,0.75,1000,1000,1000,0.0,0,1,-360,360,65.33842733765071,0.0,-65.33842733765071,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.0013,0.0151,0.2572,500,500,500,0.0,0,1,-360,360,367.88280138175475,0.0,-367.88280138175475,0.0,0,0,0,0,0,0,0,0,0,0
2,25,0.007,0.0086,0.146,500,500,500,0.0,0,1,-360,360,-275.9412287194056,0.0,275.9412287194056,0.0,0,0,0,0,0,0,0,0,0,0
2,30,0.0,0.0181,0.0,900,900,2500,1.025,0,1,-360,360,-124.99999999999993,0.0,124.99999999999993,0.0,0,0,0,0,0,0,0,0,0,0
3,4,0.0013,0.0213,0.2214,500,500,500,0.0,0,1,-360,360,88.30842345194881,0.0,-88.30842345194881,0.0,0,0,0,0,0,0,0,0,0,0
3,18,0.0011,0.0133,0.2138,500,500,500,0.0,0,1,-360,360,-26.325622070193788,0.0,26.325622070193788,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.0008,0.0128,0.1342,600,600,600,0.0,0,1,-360,360,-176.43396603489458,0.0,176.43396603489458,0.0,0,0,0,0,0,0,0,0,0,0
4,14,0.0008,0.0129,0.1382,500,500,500,0.0,0,1,-360,360,-260.2576105131559,0.0,260.2576105131559,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.0002,0.0026,0.0434,1200,1200,1200,0.0,0,1,-360,360,-510.5116613627817,0.0,510.5116613627817,0.0,0,0,0,0,0,0,0,0,0,0
5,8,0.0008,0.0112,0.1476,900,900,900,0.0,0,1,-360,360,334.0776953278874,0.0,-334.0776953278874,0.0,0,0,0,0,0,0,0,0,0,0
6,7,0.0006,0.0092,0.113,900,900,900,0.0,0,1,-360,360,449.1488773344615,0.0,-449.1488773344615,0.0,0,0,0,0,0,0,0,0,0,0
