bus,E,Ps,Emax,Emin,Psmax,Psmin,status
1,63.440000000000005,4.88,117.12,0.0,4.88,-4.88,1
3,209.3,16.1,386.40000000000003,0.0,16.1,-16.1,1
4,275.00000000000006,-25.0,600.0000000000001,0.0,25.0,-25.0,1
7,128.59000000000003,-11.690000000000001,280.56000000000006,0.0,11.690000000000001,-11.690000000000001,1
8,287.1,-26.1,626.4000000000001,0.0,26.1,-26.1,1
9,4.2250000000000005,0.325,7.800000000000001,0.0,0.325,-0.325,1
12,4.6915000000000004,-0.4265,10.236,0.0,0.4265,-0.4265,1
15,176.00000000000003,-16.0,384.00000000000006,0.0,16.0,-16.0,1
16,180.95000000000005,-16.45,394.80000000000007,0.0,16.45,-16.45,1
18,102.70000000000002,7.9,189.60000000000002,0.0,7.9,-7.9,1
20,404.5514999999995,-3.448500000000543,816.0000000000001,0.0,34.0,-34.0,1
21,150.70000000000005,-13.700000000000001,328.80000000000007,0.0,13.700000000000001,-13.700000000000001,1
23,136.12500000000003,-12.375,297.00000000000006,0.0,12.375,-12.375,1
24,169.73000000000005,-15.430000000000001,370.3200000000001,0.0,15.430000000000001,-15.430000000000001,1
25,145.60000000000002,11.200000000000001,268.80000000000007,0.0,11.200000000000001,-11.200000000000001,1
26,90.35000000000001,6.950000000000001,166.8,0.0,6.95,-6.95,1
27,182.65000000000003,14.05,337.20000000000005,0.0,14.05,-14.05,1
28,133.90000000000003,10.3,247.20000000000005,0.0,10.3,-10.3,1
29,184.27500000000003,14.175,340.20000000000005,0.0,14.175,-14.175,1
31,5.0600000000000005,-0.45999999999999996,11.040000000000001,0.0,0.45999999999999996,-0.45999999999999996,1
39,717.6000000000001,55.2,1324.8000000000002,0.0,55.2,-55.2,1
