time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,2,2
60,22737367544323206e-29,1,0,1
120,22737367544323206e-29,1,0,1
180,22737367544323206e-29,1,0,1
240,22737367544323206e-29,1,0,1
300,22737367544323206e-29,1,0,1
360,22737367544323206e-29,1,0,1
420,22737367544323206e-29,1,0,1
480,22737367544323206e-29,1,0,1
540,22737367544323206e-29,1,0,1
600,22737367544323206e-29,1,0,1
660,22737367544323206e-29,1,0,1
720,22737367544323206e-29,1,0,1
780,22737367544323206e-29,1,0,1
840,22737367544323206e-29,1,0,1
900,22737367544323206e-29,1,0,1
960,22737367544323206e-29,1,0,1
1020,22737367544323206e-29,1,0,1
1080,22737367544323206e-29,1,0,1
1140,22737367544323206e-29,1,0,1
1200,22737367544323206e-29,1,0,1
1260,22737367544323206e-29,1,0,1
1320,22737367544323206e-29,1,0,1
1380,22737367544323206e-29,1,0,1
1440,22737367544323206e-29,1,0,1
1500,22737367544323206e-29,1,0,1
1560,22737367544323206e-29,1,0,1
1620,22737367544323206e-29,1,0,1
1680,22737367544323206e-29,1,0,1
1740,22737367544323206e-29,1,0,1
1800,22737367544323206e-29,1,0,1
1860,22737367544323206e-29,1,0,1
1920,22737367544323206e-29,1,0,1
1980,22737367544323206e-29,1,0,1
2040,22737367544323206e-29,1,0,1
2100,22737367544323206e-29,1,0,1
2160,22737367544323206e-29,1,0,1
2220,22737367544323206e-29,1,0,1
2280,22737367544323206e-29,1,0,1
2340,22737367544323206e-29,1,0,1
2400,22737367544323206e-29,1,0,1
2460,22737367544323206e-29,1,0,1
2520,22737367544323206e-29,1,0,1
2580,22737367544323206e-29,1,0,1
2640,22737367544323206e-29,1,0,1
2700,22737367544323206e-29,1,0,1
2760,22737367544323206e-29,1,0,1
2820,22737367544323206e-29,1,0,1
2880,22737367544323206e-29,1,0,1
2940,22737367544323206e-29,1,0,1
3000,22737367544323206e-29,1,0,1
3060,22737367544323206e-29,1,0,1
3120,22737367544323206e-29,1,0,1
3180,22737367544323206e-29,1,0,1
3240,22737367544323206e-29,1,0,1
3300,22737367544323206e-29,1,0,1
3360,22737367544323206e-29,1,0,1
3420,22737367544323206e-29,1,0,1
3480,22737367544323206e-29,1,0,1
3540,22737367544323206e-29,1,0,1
3600,22737367544323206e-29,1,0,1
3660,22737367544323206e-29,1,0,1
3720,22737367544323206e-29,1,0,1
3780,22737367544323206e-29,1,0,1
3840,22737367544323206e-29,1,0,1
3900,22737367544323206e-29,1,0,1
3960,22737367544323206e-29,1,0,1
4020,22737367544323206e-29,1,0,1
4080,22737367544323206e-29,1,0,1
4140,22737367544323206e-29,1,0,1
4200,22737367544323206e-29,1,0,1
4260,22737367544323206e-29,1,0,1
4320,22737367544323206e-29,1,0,1
4380,22737367544323206e-29,1,0,1
4440,-4263256414560601e-28,1,0,1
4500,-4263256414560601e-28,1,0,1
4560,-4263256414560601e-28,1,0,1
4620,-4263256414560601e-28,1,0,1
4680,-4263256414560601e-28,1,0,1
4740,-4263256414560601e-28,1,0,1
4800,-4263256414560601e-28,1,0,1
4860,-4263256414560601e-28,1,0,1
