id,bus_type,Pd,Pq,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,lat,lng,BusName,SubArea
101,1,108,22,0,0,1,1,-0.46779116803319354,138,11,1.06,0.94,0,0,0,0,0,33.39610326,-113.835642,Abel,11
102,1,97,20,0,0,1,1,-0.32334670002996097,138,12,1.06,0.94,0,0,0,0,0,33.35767844,-113.8259335,Adams,11
103,2,180,37,0,0,1,1,-3.957253293128767,138,11,1.06,0.94,0,0,0,0,1.01085,33.53683282,-114.6703991,Adler,11
104,2,74,15,0,0,1,1,-1.2031477593543134,138,11,1.06,0.94,0,0,0,0,1.01765,33.81230352,-113.8254191,Agricola,11
105,2,71,14,0,0,1,1,-0.8741350685540797,138,11,1.06,0.94,0,0,0,0,1.03568,33.65955984,-113.9990231,Aiken,11
106,2,136,28,0,-100,1,1,-1.0605916531810657,138,12,1.06,0.94,0,0,0,0,1.03242,33.73803645,-114.1819242,Alber,11
107,1,125,25,0,0,1,1,0.3665807967799417,138,12,1.06,0.94,0,0,0,0,0,34.69726196,-113.7013088,Alder,11
108,2,171,35,0,0,1,1,-0.473305648231968,138,12,1.06,0.94,0,0,0,0,1.01024,34.4592108,-113.7616436,Alger,11
109,2,175,36,0,0,1,1,-1.923614768564807,138,13,1.06,0.94,0,0,0,0,1.0261,33.92043627,-114.308281,Ali,11
110,2,195,40,0,0,1,1,-1.2948205185051145,138,13,1.06,0.94,0,0,0,0,1.05,33.91279307,-114.2929646,Allen,11
111,2,0,0,0,0,1,1,-3.774944066708647,230,13,1.06,0.94,0,0,0,0,1.02764,33.90438607,-114.3011177,Anna,11
112,2,0,0,0,0,1,1,0.042969226511584885,230,13,1.06,0.94,0,0,0,0,1.02024,33.91086601,-114.3134024,Archer,11
113,3,265,54,0,0,1,1,0,230,14,1.06,0.94,0,0,0,0,1.03943,34.35428034,-114.274657,Arne,12
114,1,194,39,0,0,1,1,-9.2437465482524,230,16,1.06,0.94,0,0,0,0,0,33.77708609,-114.8199113,Arnold,12
115,1,317,64,0,0,1,1,-8.530543592759743,230,16,1.06,0.94,0,0,0,0,0,33.50618372,-115.3295084,Arthur,12
116,1,100,20,0,0,1,1,-6.433192062084589,230,16,1.06,0.94,0,0,0,0,0,33.66103124,-115.321058,Asser,12
117,2,0,0,0,0,1,1,-6.90962467594909,230,17,1.06,0.94,0,0,0,0,1.04783,33.57523255,-115.6408087,Aston,12
118,1,333,68,0,0,1,1,-8.042419484805526,230,17,1.06,0.94,0,0,0,0,0,33.54453082,-115.799956,Astor,12
119,2,181,37,0,0,1,1,-2.012609163865155,230,15,1.06,0.94,0,0,0,0,1.03962,33.86907891,-115.3691306,Attar,12
120,2,128,26,0,0,1,1,1.831375965021309,230,15,1.06,0.94,0,0,0,0,1.04399,34.24457859,-115.2624699,Attila,12
121,1,0,0,0,0,1,1,-7.76996573107826,230,17,1.06,0.94,0,0,0,0,0,33.52712147,-116.070778,Attlee,12
122,1,0,0,0,0,1,1,-0.3377183962863114,230,17,1.06,0.94,0,0,0,0,0,32.81886407,-116.3243473,Aubrey,12
123,1,0,0,0,0,1,1,3.9455677859088643,230,15,1.06,0.94,0,0,0,0,0,34.38200027,-115.0687884,Austen,12
124,2,0,0,0,0,1,1,-6.781932595842017,230,16,1.06,0.94,0,0,0,0,1.01155,33.54296506,-114.6564883,Avery,12
201,1,108,22,0,0,2,1,-23.375309052846415,138,21,1.06,0.94,0,0,0,0,0,36.2556636,-113.7214959,Bach,21
202,1,97,20,0,0,2,1,-23.785932708340688,138,22,1.06,0.94,0,0,0,0,0,36.28996256,-113.7459985,Bacon,21
203,2,180,37,0,0,2,1,-11.714831511088153,138,21,1.06,0.94,0,0,0,0,1.01886,35.35440226,-113.9759336,Baffin,21
204,2,74,15,0,0,2,1,-20.699929587076298,138,21,1.06,0.94,0,0,0,0,1.0189,36.19029231,-114.2218682,Bailey,21
205,2,71,14,0,0,2,1,-21.839317144906246,138,21,1.06,0.94,0,0,0,0,1.03603,36.07922951,-113.9830412,Bain,21
206,2,136,28,0,-100,2,1,-21.10186457200926,138,22,1.06,0.94,0,0,0,0,1.03259,35.78739717,-113.8903468,Bajer,21
207,1,125,25,0,0,2,1,-25.03794211583363,138,22,1.06,0.94,0,0,0,0,0,36.05246663,-113.0828494,Baker,21
208,2,171,35,0,0,2,1,-23.465172968199525,138,22,1.06,0.94,0,0,0,0,1.01203,35.93381421,-113.3177011,Balch,21
209,2,175,36,0,0,2,1,-18.17280892084404,138,23,1.06,0.94,0,0,0,0,1.02781,35.80510733,-114.1508325,Balzac,21
210,2,195,40,0,0,2,1,-20.2491137578623,138,23,1.06,0.94,0,0,0,0,1.05,35.78782341,-114.1628815,Banks,21
211,2,0,0,0,0,2,1,-18.430553056520033,230,23,1.06,0.94,0,0,0,0,1.02735,35.80148483,-114.1675516,Bardeen,21
212,2,0,0,0,0,2,1,-17.738206727573193,230,23,1.06,0.94,0,0,0,0,1.01921,35.79144538,-114.1461651,Barkla,21
213,1,265,54,0,0,2,1,-17.107702716211584,230,24,1.06,0.94,0,0,0,0,0,36.1460954,-114.6228964,Barlow,22
214,1,194,39,0,0,2,1,-18.807638821456788,230,26,1.06,0.94,0,0,0,0,0,35.56761113,-114.4925684,Barry,22
215,1,317,64,0,0,2,1,-7.023944471433197,230,26,1.06,0.94,0,0,0,0,0,35.14859089,-114.5757743,Barton,22
216,1,100,20,0,0,2,1,-8.844434661960104,230,26,1.06,0.94,0,0,0,0,0,35.26148957,-114.7307626,Basov,22
217,2,0,0,0,0,2,1,-3.905694395984951,230,27,1.06,0.94,0,0,0,0,1.04847,35.0877489,-114.9211636,Bates,22
218,1,333,68,0,0,2,1,-3.801116744369235,230,27,1.06,0.94,0,0,0,0,0,35.11490694,-115.0778823,Bayle,22
219,2,181,37,0,0,2,1,-11.726485332013183,230,25,1.06,0.94,0,0,0,0,1.03946,35.4192172,-114.9791817,Bede,22
220,2,128,26,0,0,2,1,-14.232616349450648,230,25,1.06,0.94,0,0,0,0,1.0438,35.64669555,-115.4465869,Beethoven,22
221,1,0,0,0,0,2,1,-2.3796742773464,230,27,1.06,0.94,0,0,0,0,0,35.3163216,-115.1979424,Behring,22
222,1,0,0,0,0,2,1,4.114581382207368,230,27,1.06,0.94,0,0,0,0,0,36.33098104,-115.2902095,Bell,22
223,1,0,0,0,0,2,1,-15.610988409041255,230,25,1.06,0.94,0,0,0,0,0,35.82434965,-115.5364456,Bloch,22
224,2,0,0,0,0,2,1,-8.817518927771856,230,26,1.06,0.94,0,0,0,0,1.01456,35.35643752,-113.9602525,Bordet,22
301,1,108,22,0,0,3,1,-72.13316422593064,138,31,1.06,0.94,0,0,0,0,0,35.0475822,-118.8217654,Cabell,31
302,1,97,20,0,0,3,1,-72.23123408054579,138,32,1.06,0.94,0,0,0,0,0,35.02993688,-118.8648595,Cabot,31
303,2,180,37,0,0,3,1,-60.86948510526918,138,31,1.06,0.94,0,0,0,0,1.01045,35.21754253,-118.0435499,Caesar,31
304,2,74,15,0,0,3,1,-67.15405318116457,138,31,1.06,0.94,0,0,0,0,1.01785,34.63209145,-118.5635853,Caine,31
305,2,71,14,0,0,3,1,-68.47782081275479,138,31,1.06,0.94,0,0,0,0,1.03609,34.87388488,-118.5104873,Calvin,31
306,2,136,28,0,-100,3,1,-66.51087198617846,138,32,1.06,0.94,0,0,0,0,1.0326,34.88716764,-118.2761997,Camus,31
307,1,125,25,0,0,3,1,-77.18222506261318,138,32,1.06,0.94,0,0,0,0,0,34.10126562,-118.878178,Carew,31
308,2,171,35,0,0,3,1,-73.58233123580624,138,32,1.06,0.94,0,0,0,0,1.01056,34.22471784,-118.6542579,Carrel,31
309,2,175,36,0,0,3,1,-62.99636173600198,138,33,1.06,0.94,0,0,0,0,1.02579,34.73575793,-118.127342,Carter,31
310,2,195,40,0,0,3,1,-64.69346527911385,138,33,1.06,0.94,0,0,0,0,1.05,34.72931591,-118.1045248,Caruso,31
311,2,0,0,0,0,3,1,-61.689820720011674,230,33,1.06,0.94,0,0,0,0,1.0283,34.74209387,-118.1119332,Cary,31
