id,bus_type,Pd,Pq,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,lat,lng,BusName,SubArea
101,1,108,22,0,0,1,1.0,8.009514339902681,138,11,1.06,0.94,0,0,0,0,0.0,33.39610326,-113.835642,Abel,11
102,1,97,20,0,0,1,1.0,8.143234389945853,138,12,1.06,0.94,0,0,0,0,0.0,33.35767844,-113.8259335,Adams,11
103,2,180,37,0,0,1,1.0,1.5803790546411842,138,11,1.06,0.94,0,0,0,0,1.01085,33.53683282,-114.6703991,Adler,11
104,2,74,15,0,0,1,1.0,5.088933024076691,138,11,1.06,0.94,0,0,0,0,1.01765,33.81230352,-113.8254191,Agricola,11
105,2,71,14,0,0,1,1.0,5.813543355860029,138,11,1.06,0.94,0,0,0,0,1.03568,33.65955984,-113.9990231,Aiken,11
106,2,136,28,0,-100,1,1.0,4.649921977824702,138,12,1.06,0.94,0,0,0,0,1.03242,33.73803645,-114.1819242,Alber,11
107,1,125,25,0,0,1,1.0,10.140271392291195,138,12,1.06,0.94,0,0,0,0,0.0,34.69726196,-113.7013088,Alder,11
108,2,171,35,0,0,1,1.0,7.132205721019411,138,12,1.06,0.94,0,0,0,0,1.01024,34.4592108,-113.7616436,Alger,11
109,2,175,36,0,0,1,1.0,2.587772850451548,138,13,1.06,0.94,0,0,0,0,1.0261,33.92043627,-114.308281,Ali,11
110,2,195,40,0,0,1,1.0,3.5400675135570454,138,13,1.06,0.94,0,0,0,0,1.05,33.91279307,-114.2929646,Allen,11
111,2,0,0,0,0,1,1.0,-0.1421282429038252,230,13,1.06,0.94,0,0,0,0,1.02764,33.90438607,-114.3011177,Anna,11
112,2,0,0,0,0,1,1.0,1.6950781528084922,230,13,1.06,0.94,0,0,0,0,1.02024,33.91086601,-114.3134024,Archer,11
113,3,265,54,0,0,1,1.0,0.0,230,14,1.06,0.94,0,0,0,0,1.03943,34.35428034,-114.274657,Arne,12
114,1,194,39,0,0,1,1.0,-3.4725388803527943,230,16,1.06,0.94,0,0,0,0,0.0,33.77708609,-114.8199113,Arnold,12
115,1,317,64,0,0,1,1.0,-3.714825765194184,230,16,1.06,0.94,0,0,0,0,0.0,33.50618372,-115.3295084,Arthur,12
116,1,100,20,0,0,1,1.0,-2.904512932600995,230,16,1.06,0.94,0,0,0,0,0.0,33.66103124,-115.321058,Asser,12
117,2,0,0,0,0,1,1.0,-3.190587961920734,230,17,1.06,0.94,0,0,0,0,1.04783,33.57523255,-115.6408087,Aston,12
118,1,333,68,0,0,1,1.0,-3.408819738021028,230,17,1.06,0.94,0,0,0,0,0.0,33.54453082,-115.799956,Astor,12
119,2,181,37,0,0,1,1.0,-0.8329420064894423,230,15,1.06,0.94,0,0,0,0,1.03962,33.86907891,-115.3691306,Attar,12
120,2,128,26,0,0,1,1.0,0.9684240162162557,230,15,1.06,0.94,0,0,0,0,1.04399,34.24457859,-115.2624699,Attila,12
121,1,0,0,0,0,1,1.0,-2.3973659622319454,230,17,1.06,0.94,0,0,0,0,0.0,33.52712147,-116.070778,Attlee,12
122,1,0,0,0,0,1,1.0,-2.7091526441905445,230,17,1.06,0.94,0,0,0,0,0.0,32.81886407,-116.3243473,Aubrey,12
123,1,0,0,0,0,1,1.0,1.9591753287043896,230,15,1.06,0.94,0,0,0,0,0.0,34.38200027,-115.0687884,Austen,12
124,2,0,0,0,0,1,1.0,-1.690188628198308,230,16,1.06,0.94,0,0,0,0,1.01155,33.54296506,-114.6564883,Avery,12
201,1,108,22,0,0,2,1.0,-12.649074032244027,138,21,1.06,0.94,0,0,0,0,0.0,36.2556636,-113.7214959,Bach,21
202,1,97,20,0,0,2,1.0,-12.671432971644395,138,22,1.06,0.94,0,0,0,0,0.0,36.28996256,-113.7459985,Bacon,21
203,2,180,37,0,0,2,1.0,-5.4431900167267635,138,21,1.06,0.94,0,0,0,0,1.01886,35.35440226,-113.9759336,Baffin,21
204,2,74,15,0,0,2,1.0,-11.615268944810714,138,21,1.06,0.94,0,0,0,0,1.0189,36.19029231,-114.2218682,Bailey,21
205,2,71,14,0,0,2,1.0,-12.396680020056264,138,21,1.06,0.94,0,0,0,0,1.03603,36.07922951,-113.9830412,Bain,21
