state,recovery_time
0,5.343534090104883
1,0
1,0
0,12.220433178095742
0,10.27428533538489
1,0
1,0
0,1.4770594703055042
0,59.52951235133642
1,0
1,0
0,1381.1019954436051
0,38.74943008969356
1,0
0,27.659044178107006
1,0
0,9.938485306256906
0,347.27196530917473
0,458.9161693507512
1,0
1,0
0,142.60688124844344
1,0
0,5.040366477732259
0,7.355413598091097
1,0
1,0
0,59.27644828938337
1,0
0,294.671734832048
1,0
0,7563.442121871868
1,0
0,1324.5450436600852
1,0
0,52.94159989646837
0,206.8911695215535
0,3.8278696745813194
0,2.848680737569928
0,540.6092616062042
1,0
0,41.83608373876783
0,10.896515750849865
1,0
0,9.049724015625324
1,0
0,5675.35876538743
0,17.89932186041947
1,0
0,72.18633826463798
0,30.308735426521235
0,169.87618842538444
1,0
1,0
0,112.54748388944648
0,151.98642546213702
1,0
0,218.35631151737226
0,116.40995593277633
1,0
0,1103.62203232155
0,24.049145748884104
0,263.66181138333224
0,0.9238068691945154
0,236.6345402182728
0,6.248979005081833
1,0
1,0
0,53.64893549810564
0,6.586617945104175
0,15.771159847533257
1,0
0,5.0285958610770045
0,0.8340141220430617
0,10.419182127602788
0,245.41218698025324
0,103.08757410665851
1,0
0,22.541606819456728
1,0
1,0
0,97.07715372216032
0,11.852718365917154
1,0
0,57.022992552451434
0,282.07004528561646
0,0.450174843026065
1,0
0,1554.054335659818
1,0
1,0
0,111.41159129778603
0,25.931522616347607
0,5.569690578702588
1,0
0,3.2008466435630956
