bus,E,Ps,Emax,Emin,Psmax,Psmin,status
101,64.80000000000001,0.0,129.60000000000002,0.0,5.4,-5.4,1
102,58.20000000000001,0.0,116.40000000000002,0.0,4.8500000000000005,-4.8500000000000005,1
107,75.00000000000001,0.0,150.00000000000003,0.0,6.25,-6.25,1
114,116.40000000000002,0.0,232.80000000000004,0.0,9.700000000000001,-9.700000000000001,1
115,190.20000000000002,0.0,380.40000000000003,0.0,15.850000000000001,-15.850000000000001,1
116,60.00000000000001,0.0,120.00000000000001,0.0,5.0,-5.0,1
118,199.80000000000004,0.0,399.6000000000001,0.0,16.650000000000002,-16.650000000000002,1
121,0.0,0.0,0.0,0.0,0.0,-0.0,1
122,0.0,0.0,0.0,0.0,0.0,-0.0,1
123,0.0,0.0,0.0,0.0,0.0,-0.0,1
201,64.80000000000001,0.0,129.60000000000002,0.0,5.4,-5.4,1
202,58.20000000000001,0.0,116.40000000000002,0.0,4.8500000000000005,-4.8500000000000005,1
207,75.00000000000001,0.0,150.00000000000003,0.0,6.25,-6.25,1
213,159.00000000000003,0.0,318.00000000000006,0.0,13.25,-13.25,1
214,116.40000000000002,0.0,232.80000000000004,0.0,9.700000000000001,-9.700000000000001,1
215,190.20000000000002,0.0,380.40000000000003,0.0,15.850000000000001,-15.850000000000001,1
216,60.00000000000001,0.0,120.00000000000001,0.0,5.0,-5.0,1
218,199.80000000000004,0.0,399.6000000000001,0.0,16.650000000000002,-16.650000000000002,1
221,0.0,0.0,0.0,0.0,0.0,-0.0,1
222,0.0,0.0,0.0,0.0,0.0,-0.0,1
223,0.0,0.0,0.0,0.0,0.0,-0.0,1
301,64.80000000000001,0.0,129.60000000000002,0.0,5.4,-5.4,1
302,58.20000000000001,0.0,116.40000000000002,0.0,4.8500000000000005,-4.8500000000000005,1
307,75.00000000000001,0.0,150.00000000000003,0.0,6.25,-6.25,1
313,159.00000000000003,0.0,318.00000000000006,0.0,13.25,-13.25,1
314,116.40000000000002,0.0,232.80000000000004,0.0,9.700000000000001,-9.700000000000001,1
315,190.20000000000002,0.0,380.40000000000003,0.0,15.850000000000001,-15.850000000000001,1
316,60.00000000000001,0.0,120.00000000000001,0.0,5.0,-5.0,1
318,199.80000000000004,0.0,399.6000000000001,0.0,16.650000000000002,-16.650000000000002,1
321,0.0,0.0,0.0,0.0,0.0,-0.0,1
322,0.0,0.0,0.0,0.0,0.0,-0.0,1
323,0.0,0.0,0.0,0.0,0.0,-0.0,1
